Title,Description,Author,Rating,Num Ratings,Price,Language,Length,Cover Image,URL
Reckoning,"Songs of Chaos, Book 4",Michael R. Miller,,Not rated yet,$13.90,"Language:
                                      English",24 hrs,https://m.media-amazon.com/images/I/51e1baHAMBL._SL500_.jpg,https://www.audible.com/pd/Reckoning-Audiobook/B0F67CGBCF?qid=1746651088&sr=1-13&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_13
Control,"Welcome to the Multiverse, Book 6",Sean Oswald,4.5 out of 5 stars,30 ratings,$49.90,"Language:
                                      English",15 hrs and 44 mins,https://m.media-amazon.com/images/I/516U1eFpdVL._SL500_.jpg,https://www.audible.com/pd/Control-Audiobook/B0DV237Y62?qid=1746651088&sr=1-14&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_14
The Crown of Gilded Bones (Part 2 of 2) (Dramatized Adaptation),"Blood and Ash, Book 3",Jennifer L. Armentrout,,Not rated yet,$20.00,"Language:
                                      English",9 hrs,https://m.media-amazon.com/images/I/61VQQZ+-VNL._SL500_.jpg,https://www.audible.com/pd/The-Crown-of-Gilded-Bones-Part-2-of-2-Dramatized-Adaptation-Audiobook/B0F64676B4?qid=1746651088&sr=1-15&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_15
Of Ancients Unbound,"The Bladeborn Saga, Book 7",T.C. Edge,,Not rated yet,$54.99,"Language:
                                      English",42 hrs and 43 mins,https://m.media-amazon.com/images/I/510QjpFN4+L._SL500_.jpg,https://www.audible.com/pd/Of-Ancients-Unbound-Audiobook/B0F569XXHJ?qid=1746651088&sr=1-16&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_16
A Court of Wings and Ruin (10th Anniversary Recording),"A Court of Thorns and Roses, Book 3",Sarah J. Maas,,Not rated yet,$38.00,"Language:
                                      English",20 hrs and 49 mins,https://m.media-amazon.com/images/I/51x-Ywcj3YL._SL500_.jpg,https://www.audible.com/pd/A-Court-of-Wings-and-Ruin-10th-Anniversary-Recording-Audiobook/B0F6P33N82?qid=1746651088&sr=1-18&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_18
Rage World,"Undying Mercenaries, Book 23",B.V. Larson,,Not rated yet,$33.90,"Language:
                                      English",12 hrs and 18 mins,https://m.media-amazon.com/images/I/518W8m99QGL._SL500_.jpg,https://www.audible.com/pd/Rage-World-Audiobook/B0F452WKXL?qid=1746651088&sr=1-19&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_19
A Court of Thorns and Roses (10th Anniversary Recording),"A Court of Thorns and Roses, Book 1",Sarah J. Maas,,Not rated yet,$25.00,"Language:
                                      English",14 hrs and 4 mins,https://m.media-amazon.com/images/I/51OTgIOOexL._SL500_.jpg,https://www.audible.com/pd/A-Court-of-Thorns-and-Roses-10th-Anniversary-Recording-Audiobook/B0F6NWH2QF?qid=1746651088&sr=1-20&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_20
Quest for the Holy Rabbit,"Waldo Rabbit, Book 6",Nelson Chereta,5 out of 5 stars,1 rating,$11.19,"Language:
                                      English",5 hrs and 53 mins,https://m.media-amazon.com/images/I/51xStTg9VzL._SL500_.jpg,https://www.audible.com/pd/Quest-for-the-Holy-Rabbit-Audiobook/B0F5X5J8WD?qid=1746651088&sr=1-21&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_21
Silver Elite,"Silver Elite, Book 1",Dani Francis,5 out of 5 stars,4 ratings,$24.86,"Language:
                                      English",19 hrs and 11 mins,https://m.media-amazon.com/images/I/5118QUn17hL._SL500_.jpg,https://www.audible.com/pd/Silver-Elite-Audiobook/B0DG371VGL?qid=1746651088&sr=1-22&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_22
A Court of Mist and Fury (10th Anniversary Recording),"A Court of Thorns and Roses, Book 2",Sarah J. Maas,,Not rated yet,$25.00,"Language:
                                      English",19 hrs and 35 mins,https://m.media-amazon.com/images/I/5142maMH6lL._SL500_.jpg,https://www.audible.com/pd/A-Court-of-Mist-and-Fury-10th-Anniversary-Recording-Audiobook/B0F6NXT2TX?qid=1746651088&sr=1-23&ref_pageloadid=not_applicable&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2WYVEK66TW7ASG1FV6D7&plink=AQKeZtXHl7EdHn9Y&pageLoadId=1bPIGycdSOj9cjqK&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c&ref=a_search_c3_lProduct_1_23
